take_profit,stop_loss,timeout,expectancy_conservative,expectancy_midpoint,expectancy_optimistic,p_tp_first,p_sl_first,p_same_day,p_timeout,cost_bps
0.06,-0.19,30,0.0353521771928534,0.03544386505700179,0.03553555292115018,0.69407158541376,0.02711974936035075,0.000733502913187133,0.2780751623127022,10.0
0.06,-0.2,30,0.03517626101351107,0.0352373741429662,0.035298487272421346,0.6944662636575794,0.0269884730339097,0.00047010099580875814,0.27807516231270213,10.0
0.05,-0.19,30,0.03274795133303473,0.03277403787571936,0.03280012441840399,0.7608630506464304,0.02238893424580421,0.0002173878557052362,0.21653062725206002,10.0
0.06,-0.18,30,0.03274450457777912,0.03321831210181546,0.033692119625851794,0.6871010173497781,0.03761580653973925,0.003948396033636131,0.2713347800768464,10.0
0.05,-0.2,30,0.032557486697207816,0.03260193831063089,0.03264638992405396,0.7610054449871833,0.022108314853372134,0.0003556129073846288,0.21653062725206002,10.0
0.06,-0.17,30,0.03251342737513355,0.032553741688631656,0.03259405600212977,0.6842891946176941,0.044025466057649745,0.0003505592478096502,0.2713347800768464,10.0
0.06,-0.19,29,0.03177409263338593,0.03186578049753432,0.031957468361682714,0.6344368427559689,0.027119749360350748,0.0007335029131871329,0.3377099049704932,10.0
0.06,-0.2,29,0.0315981764540436,0.03165928958349874,0.031720402712953885,0.6348315209997883,0.0269884730339097,0.00047010099580875814,0.3377099049704932,10.0
0.05,-0.18,30,0.0308368049371402,0.030945725383653234,0.031054645830166275,0.7556784177432745,0.03209239873818158,0.0009471343175046869,0.2112820492010393,10.0
0.05,-0.17,30,0.030572221664453718,0.0306319705579072,0.030691719451360684,0.7529739695467138,0.03520080949357888,0.0005431717586680259,0.2112820492010393,10.0
0.06,-0.16,30,0.03056958536504127,0.030671334859990615,0.030773084354939972,0.6754362281609325,0.0550536816202113,0.0009249954086304036,0.2685850948102258,10.0
0.06,-0.18,29,0.029253150733138694,0.02972695825717503,0.030200765781211364,0.6289117866057711,0.037615806539739255,0.003948396033636132,0.3295240108208536,10.0
0.06,-0.17,29,0.02902207353049312,0.02906238784399123,0.029102702157489346,0.626099963873687,0.04402546605764975,0.00035055924780965026,0.3295240108208536,10.0
0.05,-0.16,30,0.028600508791966482,0.02872997997448706,0.028859451157007627,0.7435140924768144,0.04611191506806568,0.0012330588811483238,0.2091409335739716,10.0
0.05,-0.19,26,0.02762210852307313,0.027638886115600277,0.02765566370812743,0.6214328420015347,0.01275246871316993,0.00013981327105956268,0.36567487601423576,10.0
0.05,-0.2,26,0.02759120857799323,0.027625963368335598,0.027660718158677974,0.6215752363422875,0.012159727872866769,0.0002780383227389553,0.36598699746210683,10.0
0.06,-0.15,30,0.02758739493517874,0.028007461188982997,0.02842752744278725,0.6646679642414468,0.07128392180677515,0.0040006309886119725,0.2600474829631661,10.0
0.06,-0.16,29,0.027113612624970067,0.027215362119919415,0.02731711161486876,0.6178366824930791,0.0550536816202113,0.0009249954086304036,0.3261846404780792,10.0
0.05,-0.19,29,0.027078952202495107,0.027105038745179735,0.027131125287864367,0.647483068035638,0.02238893424580421,0.0002173878557052362,0.3299106098628524,10.0
0.04,-0.19,30,0.026947419368820145,0.026958271100649682,0.02696912283247922,0.7933948012846197,0.01984444070697126,9.436288547423994e-05,0.1866663951229348,10.0
0.05,-0.2,29,0.026888487566668194,0.02693293918009127,0.026977390793514345,0.6476254623763908,0.022108314853372134,0.0003556129073846288,0.3299106098628524,10.0
0.04,-0.2,30,0.026780995109589353,0.0268645491566738,0.026948103203758247,0.7935321503541767,0.019105170797184847,0.0006962837257037277,0.1866663951229348,10.0
0.06,-0.2,26,0.026704376625640985,0.026717096405531274,0.02672981618542157,0.5098245109501659,0.014327625696150283,9.78444606945599e-05,0.4757500188929893,10.0
0.06,-0.19,26,0.02667287312842661,0.02671802892568573,0.026763184722944845,0.5094298327063465,0.014864631695370084,0.00036124637807293463,0.4753442892202105,10.0
0.05,-0.18,26,0.026159777124176446,0.026187160603837134,0.026214544083497823,0.6196279172811429,0.02099309800711866,0.00023811721444076415,0.35914086749729773,10.0
0.05,-0.15,30,0.026142668985794027,0.02629615092318701,0.02644963286057999,0.7338436737948386,0.06212861198572289,0.0015348193739298075,0.20249289484550864,10.0
0.05,-0.19,27,0.02597784290214493,0.025994620494672077,0.02601139808719923,0.6214328420015347,0.021406498297002564,0.00013981327105956268,0.3570208464304031,10.0
0.05,-0.19,28,0.02597784290214493,0.025994620494672077,0.02601139808719923,0.6214328420015347,0.021406498297002564,0.00013981327105956268,0.3570208464304031,10.0
0.05,-0.2,27,0.025797978371652486,0.025832733161994855,0.025867487952337228,0.6215752363422875,0.02112587890457049,0.0002780383227389553,0.3570208464304031,10.0
0.05,-0.2,28,0.025797978371652486,0.025832733161994855,0.025867487952337228,0.6215752363422875,0.02112587890457049,0.0002780383227389553,0.3570208464304031,10.0
0.05,-0.18,27,0.025778173332135414,0.0258055568117961,0.025832940291456788,0.6196279172811429,0.02311311907401329,0.00023811721444076415,0.3570208464304031,10.0
0.05,-0.18,28,0.025778173332135414,0.0258055568117961,0.025832940291456788,0.6196279172811429,0.02311311907401329,0.00023811721444076415,0.3570208464304031,10.0
0.04,-0.18,30,0.025514678728938874,0.02552474093717947,0.025534803145420067,0.789678050570702,0.02808876590123764,9.147462036905573e-05,0.1821417089076914,10.0
0.07,-0.19,29,0.025369009219316594,0.02547042189371964,0.02557183456812269,0.46366474124338586,0.03125949549259415,0.000780097495408034,0.504295665768612,10.0
0.07,-0.19,30,0.025369009219316594,0.02547042189371964,0.02557183456812269,0.46366474124338586,0.03125949549259415,0.000780097495408034,0.504295665768612,10.0
0.04,-0.17,30,0.025321153848859405,0.025334121332712223,0.025347088816565035,0.7874145873073898,0.030320203938701454,0.0001234998462173005,0.1821417089076914,10.0
0.05,-0.18,29,0.025305219089817872,0.025414139536330912,0.025523059982843956,0.645046700796828,0.03209239873818158,0.0009471343175046869,0.3219137661474858,10.0
0.07,-0.2,29,0.02517339158339611,0.025234362920375675,0.02529533425735525,0.46412688307286565,0.031125811625340446,0.0004516395331819812,0.504295665768612,10.0
0.07,-0.2,30,0.02517339158339611,0.025234362920375675,0.02529533425735525,0.46412688307286565,0.031125811625340446,0.0004516395331819812,0.504295665768612,10.0
0.05,-0.17,26,0.025071953875332863,0.025130092543008378,0.025188231210683892,0.6169234690845822,0.027555111239237942,0.0005285333425046811,0.3549928863336752,10.0
