take_profit,stop_loss,timeout,expectancy_conservative,expectancy_midpoint,expectancy_optimistic,p_tp_first,p_sl_first,p_same_day,p_timeout,cost_bps
0.15,-0.2,29,0.047881114286224574,0.0488360994415143,0.04979108459680403,0.6011302243649231,0.20098503881234245,0.005457058030227005,0.1924276787925075,10.0
0.15,-0.2,30,0.04582156898618076,0.046776554141470486,0.04773153929676022,0.6011302243649231,0.21128276531256152,0.005457058030227005,0.18212995229228843,10.0
0.15,-0.2,28,0.045617129074373514,0.04657211422966324,0.04752709938495297,0.5860369896192494,0.20098503881234245,0.005457058030227005,0.20752091353818117,10.0
0.15,-0.19,29,0.04506525686177664,0.04646381444178639,0.047862372021796155,0.5877994653086956,0.21337667983491812,0.008226809294175057,0.1905970455622112,10.0
0.14,-0.2,29,0.04434851624730052,0.045296639219552674,0.04624476219180484,0.6084205308494088,0.19357459640365915,0.005577193954424466,0.1924276787925075,10.0
0.14,-0.2,28,0.043835751466857906,0.04478387443911006,0.045731997411362225,0.6047579252748188,0.19357459640365915,0.005577193954424466,0.1960902843670976,10.0
0.15,-0.19,30,0.04345650914049131,0.04485506672050107,0.04625362430051083,0.5877994653086956,0.22184377310484088,0.008226809294175057,0.18212995229228843,10.0
0.15,-0.19,28,0.04282280974978587,0.04422136732979562,0.04561992490980538,0.5728498178954238,0.21337667983491812,0.008226809294175057,0.205546692975483,10.0
0.14,-0.19,29,0.04242290619792691,0.04342650378131777,0.04443010136470865,0.597604447094263,0.20571609774721755,0.006082409596308293,0.1905970455622112,10.0
0.14,-0.2,30,0.0422889709472567,0.04323709391950886,0.044185216891761026,0.6084205308494088,0.20387232290387822,0.005577193954424466,0.18212995229228843,10.0
0.14,-0.19,28,0.041915019531964984,0.04291861711535585,0.04392221469874673,0.593976685194535,0.20571609774721755,0.006082409596308293,0.1942248074619392,10.0
0.15,-0.18,29,0.04125160339282448,0.04278825734684262,0.044324911300860755,0.5738559457615442,0.23416910390770754,0.009313054266776583,0.18266189606397173,10.0
0.15,-0.18,30,0.04115585351392149,0.04269250746793963,0.04422916142195776,0.5738559457615442,0.23470104767939082,0.009313054266776583,0.18212995229228843,10.0
0.1,-0.2,28,0.04096636145976771,0.04265004612973446,0.0443337307997012,0.7468916880572662,0.15238947226334956,0.011224564466444984,0.08949427521293919,10.0
0.1,-0.2,29,0.04096636145976771,0.04265004612973446,0.0443337307997012,0.7468916880572662,0.15238947226334956,0.011224564466444984,0.08949427521293919,10.0
0.14,-0.19,30,0.040814158476641584,0.04181775606003245,0.04282135364342333,0.597604447094263,0.2141831910171403,0.006082409596308293,0.18212995229228843,10.0
0.15,-0.2,22,0.040764868348542774,0.041719853503832505,0.042674838659122236,0.48636879547402845,0.1504951968325804,0.005457058030227006,0.35767894966316416,10.0
0.13,-0.2,29,0.040237064590307944,0.041785320369138346,0.043333576147968754,0.6143985722175953,0.18379038063334932,0.009383368356547883,0.1924276787925075,10.0
0.1,-0.2,27,0.040161624080131984,0.04184530875009874,0.04352899342006548,0.7388443142609089,0.15238947226334956,0.011224564466444984,0.0975416490092965,10.0
0.1,-0.2,30,0.040008508020739415,0.04169219269070616,0.0433758773606729,0.7468916880572662,0.15717873945849106,0.011224564466444984,0.08470500801779769,10.0
0.14,-0.2,22,0.04000611938146409,0.040954242353716246,0.041902365325968395,0.5088394204310549,0.14557980343999358,0.005577193954424466,0.34000358217452703,10.0
0.13,-0.2,28,0.03976092586561124,0.04130918164444164,0.042857437423272034,0.6107359666430052,0.18379038063334932,0.009383368356547883,0.1960902843670976,10.0
0.1,-0.19,28,0.039131715639529836,0.04059646639971265,0.042061217159895456,0.7354812677217912,0.1657741186860041,0.010101729380571148,0.08864288421163347,10.0
0.1,-0.19,29,0.039131715639529836,0.04059646639971265,0.042061217159895456,0.7354812677217912,0.1657741186860041,0.010101729380571148,0.08864288421163347,10.0
0.15,-0.18,28,0.03910251634852549,0.04063917030254363,0.042175824256561766,0.5595286987995509,0.23416910390770754,0.009313054266776583,0.19698914302596499,10.0
0.11,-0.2,28,0.03854599691841471,0.03944563973517346,0.0403452825519322,0.6781658834446485,0.16945710409758796,0.005804147204895136,0.14657286525286847,10.0
0.11,-0.2,29,0.03854599691841471,0.03944563973517346,0.0403452825519322,0.6781658834446485,0.16945710409758796,0.005804147204895136,0.14657286525286847,10.0
0.11,-0.2,27,0.03842111692622958,0.03932075974298833,0.040220402559747064,0.67703061078842,0.16945710409758796,0.005804147204895136,0.14770813790909698,10.0
0.15,-0.17,29,0.03839679150261112,0.03990235608310311,0.041407920663595096,0.5604675853515645,0.2533746113726518,0.009409778628074957,0.1767480246477088,10.0
0.15,-0.17,30,0.03839679150261112,0.03990235608310311,0.041407920663595096,0.5604675853515645,0.2533746113726518,0.009409778628074957,0.1767480246477088,10.0
0.1,-0.19,30,0.03838351916270103,0.03984826992288386,0.041313020683066665,0.7354812677217912,0.16971199487983987,0.010101729380571148,0.0847050080177977,10.0
0.1,-0.19,27,0.03833463401398347,0.03979938477416628,0.041264135534349086,0.7275104514663275,0.1657741186860041,0.010101729380571148,0.09661370046709715,10.0
0.14,-0.18,29,0.03827292228101137,0.039800761006228744,0.041328599731446126,0.5824805655921764,0.22530854631124328,0.009548992032608582,0.18266189606397173,10.0
0.13,-0.2,30,0.03817751929026413,0.03972577506909453,0.041274030847924935,0.6143985722175953,0.1940881071335684,0.009383368356547883,0.18212995229228843,10.0
0.14,-0.18,30,0.03817717240210838,0.03970501112732575,0.041232849852543135,0.5824805655921764,0.22584049008292656,0.009548992032608582,0.18212995229228843,10.0
0.13,-0.2,22,0.03812702755005467,0.03910118967114973,0.04007535179224478,0.5280122974794991,0.1416688427562795,0.005904012855121532,0.3244148469090999,10.0
0.13,-0.19,29,0.03802320279397945,0.03939773742453647,0.04077227205509348,0.6025305129286229,0.1982816000681846,0.00859084144098132,0.1905970455622112,10.0
0.14,-0.18,28,0.037786180521103385,0.03931401924632076,0.040841857971538144,0.5790038387356908,0.22530854631124328,0.009548992032608582,0.18613862292045735,10.0
0.13,-0.19,28,0.03755159374701481,0.03892612837757183,0.04030066300812884,0.5989027510288949,0.1982816000681846,0.00859084144098132,0.1942248074619392,10.0
0.15,-0.16,29,0.03749543757085653,0.0389489029824008,0.04040236839394506,0.5525225767097086,0.2680162346439871,0.009377196203511382,0.17008399244279293,10.0
0.15,-0.16,30,0.03749543757085653,0.0389489029824008,0.04040236839394506,0.5525225767097086,0.2680162346439871,0.009377196203511382,0.17008399244279293,10.0
